flow_id,duration,packet_count,total_bytes,pkt_rate,protocol
10.215.173.1_10.215.173.2_DNS_2022,0.001,313,22877,313000.0,DNS
10.215.173.1_20.202.43.32_STUN_2022,0.001,2,192,2000.0,STUN
10.215.173.1_20.202.44.0_STUN_2022,0.001,31,4712,31000.0,STUN
10.215.173.1_20.202.44.1_RTCP_2022,0.001,783,196600,783000.0,RTCP
10.215.173.1_20.202.44.1_STUN_2022,0.001,36,10680,36000.0,STUN
10.215.173.1_20.202.44.4_RTCP_2022,0.001,132404,94693632,132404000.0,RTCP
10.215.173.1_20.202.44.4_STUN_2022,0.001,98365,12402060,98365000.0,STUN
10.215.173.1_20.202.44.4_UDP_2022,0.001,10722572,6150204184,10722572000.0,UDP
10.215.173.1_52.114.44.2_UDP_2022,0.001,425,61682,425000.0,UDP
10.215.173.2_10.215.173.1_DNS_2022,0.001,313,135034,313000.0,DNS
192.0.0.2_20.202.44.0_UDP_2022,0.001,31,4712,31000.0,UDP
20.202.43.32_10.215.173.1_STUN_2022,0.001,2,430,2000.0,STUN
20.202.44.0_10.215.173.1_STUN_2022,0.001,1,192,1000.0,STUN
20.202.44.1_10.215.173.1_STUN_2022,0.001,4,807,4000.0,STUN
20.202.44.4_10.215.173.1_CLASSIC-STUN_2022,0.001,238,38244,238000.0,CLASSIC-STUN
20.202.44.4_10.215.173.1_RTCP_2022,0.001,114893,67834680,114893000.0,RTCP
20.202.44.4_10.215.173.1_STUN_2022,0.001,98141,12259089,98141000.0,STUN
20.202.44.4_10.215.173.1_UDP_2022,0.001,12296675,7821634810,12296675000.0,UDP
52.114.44.2_10.215.173.1_UDP_2022,0.001,909,69696,909000.0,UDP
10.215.173.1_52.114.44.6_UDP_2022,0.001,172,24175,172000.0,UDP
192.0.0.2_114.70.63.48_RTCP_2022,0.001,24,12492,24000.0,RTCP
192.0.0.2_114.70.63.48_STUN_2022,0.001,45,5700,45000.0,STUN
192.0.0.2_114.70.63.48_UDP_2022,0.001,619,210690,619000.0,UDP
192.0.0.2_20.202.44.3_RTCP_2022,0.001,33788,14535076,33788000.0,RTCP
192.0.0.2_20.202.44.3_STUN_2022,0.001,30206,4383589,30206000.0,STUN
192.0.0.2_20.202.44.3_UDP_2022,0.001,5662403,3628863503,5662403000.0,UDP
192.0.0.2_20.202.44.6_RTCP_2022,0.001,18,9468,18000.0,RTCP
192.0.0.2_20.202.44.6_STUN_2022,0.001,939,589455,939000.0,STUN
20.202.44.3_192.0.0.2_CLASSIC-STUN_2022,0.001,1,216,1000.0,CLASSIC-STUN
20.202.44.3_192.0.0.2_STUN_2022,0.001,1,192,1000.0,STUN
20.202.44.6_192.0.0.2_CLASSIC-STUN_2022,0.001,825,504801,825000.0,CLASSIC-STUN
20.202.44.6_192.0.0.2_RTCP_2022,0.001,33763,13383588,33763000.0,RTCP
20.202.44.6_192.0.0.2_STUN_2022,0.001,33416,3898883,33416000.0,STUN
20.202.44.6_192.0.0.2_UDP_2022,0.001,5823316,3673060221,5823316000.0,UDP
52.114.44.6_10.215.173.1_UDP_2022,0.001,367,27050,367000.0,UDP
